User_ID,Age,Income_Level,Credit_Score,Investment_Experience,Financial_Knowledge,Risk_Tolerance,Investment_Goals,Time_Horizon,Total_Assets,Total_Liabilities,Number_of_Dependents,Years_of_Investing,Net_Worth,Investment_Strategy
TYGRYFIZJU,19,High,652,Experienced,High,Medium,Growth,Long-term,5175645,1939623,4,11,3236022,Balanced
GC8Z417YSV,57,Medium,685,Novice,Low,High,Income,Medium-term,5037698,1850232,3,13,3187466,Balanced
NFA1KPZW7A,59,High,611,Experienced,High,Medium,Income,Long-term,4935048,1987662,4,1,2947386,Balanced
X92IW0V7KL,53,Low,681,Novice,High,High,Growth,Medium-term,5048557,2040110,1,21,3008447,Aggressive
AYNJ63L0F6,56,Medium,718,Novice,Low,High,Growth,Medium-term,5037424,1941450,4,0,3095974,Balanced
ILHD4SVQKN,29,Low,681,Intermediate,Medium,Low,Growth,Medium-term,5040691,1908796,4,14,3131895,Balanced
79KWGXQ10O,64,High,751,Intermediate,Medium,High,Preservation,Short-term,5021029,2038024,0,35,2983005,Growth-oriented
D7SKBYOVSO,36,Low,746,Novice,Low,Low,Preservation,Short-term,5007815,2091734,4,6,2916081,Conservative
XVZJIFOXQE,45,Low,749,Intermediate,Low,Medium,Speculation,Medium-term,4829608,2099591,0,7,2730017,Balanced
93VGI6BMIR,18,Medium,723,Experienced,Medium,Low,Growth,Short-term,4866706,2150630,2,24,2716076,Conservative
739QJ7L0YL,32,Low,610,Intermediate,Medium,Low,Growth,Medium-term,4935609,2072014,3,18,2863595,Balanced
3YYY6R7IBL,53,Medium,755,Novice,High,Medium,Speculation,Short-term,4906737,1842134,2,11,3064603,Balanced
9JS3KEWFA6,30,High,677,Intermediate,Low,Low,Speculation,Medium-term,4955007,1947964,4,20,3007043,Balanced
3UFHGKKJSH,60,High,690,Experienced,High,High,Growth,Medium-term,5033594,1997506,4,39,3036088,Aggressive
62QHUXZ00F,38,Low,736,Intermediate,High,Low,Income,Long-term,4781797,2126698,3,18,2655099,Balanced
SCYAE0ZQ8Q,29,High,692,Intermediate,Medium,Low,Preservation,Short-term,4930556,2051412,4,32,2879144,Conservative
XUDXK9I25M,22,High,706,Intermediate,Medium,High,Income,Short-term,5037222,1887562,2,5,3149660,Balanced
Q25ZWENMSB,24,Medium,678,Novice,Low,High,Income,Short-term,5167280,1999195,0,10,3168085,Balanced
KMT4F5KV1X,22,High,789,Intermediate,Medium,Medium,Income,Short-term,5182800,1943781,3,38,3239019,Growth-oriented
UO0KNFU7GA,65,Medium,721,Experienced,Medium,High,Preservation,Medium-term,4879441,1955963,3,30,2923478,Balanced
QZDLZ5TO92,21,Low,642,Experienced,Medium,Low,Income,Medium-term,4725381,2020041,3,26,2705340,Balanced
NFQ7TX08KN,30,Medium,706,Intermediate,Low,Low,Preservation,Long-term,4862096,1951047,0,26,2911049,Balanced
ZOX1R5NV4B,54,High,713,Intermediate,High,Low,Income,Medium-term,4709783,1807690,2,8,2902093,Balanced
AT8442LVO3,58,Low,554,Novice,Low,Low,Income,Medium-term,4731401,2193166,1,28,2538235,Balanced
AF1X5M06J6,32,High,713,Novice,Low,Medium,Speculation,Short-term,5219055,1936641,2,20,3282414,Balanced
3T9A0I86XO,33,Low,688,Experienced,Low,Low,Growth,Long-term,5090522,1912167,2,32,3178355,Balanced
2KVEMGJ7R8,38,Medium,772,Intermediate,Low,Medium,Speculation,Medium-term,4886269,2108926,3,29,2777343,Balanced
MR2KQ3MBYN,53,Medium,739,Experienced,High,Medium,Income,Medium-term,4781557,2096471,0,15,2685086,Balanced
YG7TT4WQKT,41,Medium,735,Novice,High,High,Preservation,Short-term,4935744,1981208,0,32,2954536,Aggressive
9C9NX6Q1A3,33,Medium,691,Experienced,Medium,High,Income,Long-term,5037016,2036184,1,0,3000832,Balanced
YGZJ4ER0YA,31,High,641,Experienced,Medium,Medium,Speculation,Long-term,5131259,2045092,0,26,3086167,Balanced
35KIVGP6M1,39,Low,741,Experienced,Medium,Low,Growth,Medium-term,4919011,1966122,3,28,2952889,Balanced
9UPCUDPOT8,66,High,673,Experienced,High,High,Income,Medium-term,5003298,2030412,1,28,2972886,Aggressive
FSK5K4X7E1,67,Medium,669,Novice,Low,Low,Speculation,Long-term,5020217,1850601,4,36,3169616,Balanced
FY3OHES47J,23,High,647,Intermediate,Low,High,Growth,Short-term,4895235,1816273,3,31,3078962,Balanced
VTFGNGDJ8I,59,High,645,Novice,High,High,Preservation,Medium-term,5192108,1952632,4,16,3239476,Aggressive
G8SJ9KSAQU,53,Medium,703,Experienced,Low,High,Speculation,Short-term,5104581,1719578,2,3,3385003,Preservation
E5NWGCP1VL,18,High,699,Experienced,Medium,High,Preservation,Long-term,4831302,1996046,4,10,2835256,Growth
23LDTIHKEG,49,Low,726,Novice,High,Medium,Income,Short-term,5186676,1930611,4,27,3256065,Income
M3M4NLD4A1,23,Medium,682,Novice,Medium,Medium,Speculation,Medium-term,5011204,2125532,3,38,2885672,Balanced
L1H2RXG4XV,48,Medium,709,Intermediate,High,Low,Growth,Long-term,4945484,1926132,1,10,3019352,Balanced
JO3O2NJZY5,18,Low,646,Intermediate,High,Medium,Growth,Long-term,5139385,2068590,1,9,3070795,Balanced
WX1PEZFVQY,67,Low,684,Novice,Low,High,Speculation,Short-term,4682100,1896368,4,25,2785732,Balanced
A4P7DXRVAL,68,Low,739,Intermediate,Low,Low,Income,Medium-term,5296899,1810264,3,13,3486635,Balanced
MJN4OTKRHS,54,High,667,Intermediate,Medium,Medium,Speculation,Medium-term,5144810,1848078,4,12,3296732,Income
TIY3HYL8FJ,52,Medium,707,Intermediate,Low,High,Growth,Short-term,4874639,2000858,4,18,2873781,Balanced
ZE07TPBTSR,66,Low,703,Novice,High,Medium,Income,Medium-term,5358453,1849544,3,33,3508909,Balanced
2YSFISEFME,47,Low,709,Novice,Medium,High,Income,Short-term,5086263,2007291,2,12,3078972,Balanced
ZMPRZY4WOJ,21,Low,698,Intermediate,Medium,High,Growth,Medium-term,4899753,1989578,4,10,2910175,Aggressive
RSZAF8ZYMD,52,High,695,Experienced,High,Medium,Growth,Medium-term,5074737,1997039,1,3,3077698,Balanced
8F7CHFSDEG,60,Medium,864,Intermediate,Low,Medium,Growth,Long-term,4960247,1984136,4,31,2976111,Balanced
FAY7EP95IW,31,High,737,Intermediate,Low,High,Income,Medium-term,5058697,1934236,3,23,3124461,Balanced
NSD040V708,66,Medium,661,Novice,High,Low,Income,Long-term,4714573,2089397,3,32,2625176,Balanced
81Y2URWTFT,57,Low,666,Experienced,Low,Medium,Speculation,Medium-term,5183463,2049022,0,39,3134441,Balanced
YIA0L2YKHZ,39,Low,733,Experienced,High,High,Income,Long-term,4758986,1916453,3,17,2842533,Aggressive
5GTU2H2UB0,27,Low,741,Intermediate,Low,Low,Speculation,Long-term,4675382,2134759,0,7,2540623,Balanced
LWYE93TIIV,18,High,708,Novice,Medium,High,Preservation,Short-term,4905841,2044068,2,8,2861773,Balanced
0IG5Q3H9R4,28,Medium,711,Experienced,Low,High,Speculation,Long-term,5120486,2159924,4,0,2960562,Balanced
AYPSMHJ5FD,68,Medium,728,Novice,High,Low,Growth,Medium-term,5096754,1934528,0,32,3162226,Balanced
1PO2ANFXCH,61,Low,652,Intermediate,Low,Low,Growth,Short-term,4799626,1930857,4,31,2868769,Conservative
GFBM3JUDZF,41,High,679,Intermediate,Low,High,Speculation,Medium-term,4761625,1934733,3,7,2826892,Balanced
V2BQCFMMD2,20,Low,740,Intermediate,Medium,High,Preservation,Long-term,4954265,2094454,3,28,2859811,Balanced
DDGLVP3MBA,52,Medium,817,Experienced,Low,Medium,Growth,Medium-term,4823505,1858283,0,6,2965222,Balanced
OFKMWTSOIT,53,Medium,700,Novice,Medium,Medium,Income,Long-term,5135055,2050250,0,20,3084805,Balanced
UHTKONEO1R,48,Medium,706,Intermediate,Medium,High,Speculation,Short-term,4959338,1825151,3,14,3134187,Balanced
F67G0BQTN1,21,High,724,Experienced,Low,Low,Preservation,Short-term,5108119,2022086,2,26,3086033,Conservative
T6ARG9ZPCA,36,Medium,690,Intermediate,Medium,Low,Speculation,Long-term,5033942,2088187,2,4,2945755,Balanced
ACE9Y653IZ,64,High,768,Experienced,Medium,High,Preservation,Medium-term,4962465,1939064,3,16,3023401,Growth-oriented
JUPCZXBJ51,53,High,747,Intermediate,High,Low,Income,Short-term,4965005,1862964,1,24,3102041,Conservative
3GQU2GF4GJ,38,Medium,683,Experienced,Low,High,Speculation,Long-term,4944445,1894385,0,36,3050060,Balanced
YSMZNQRIMX,35,High,603,Experienced,High,Medium,Income,Long-term,5070474,2058785,4,33,3011689,Balanced
OCBLVBR1A8,68,Medium,698,Experienced,High,High,Income,Long-term,4890414,2036692,3,4,2853722,Aggressive
0U83J0HAEJ,45,Low,760,Intermediate,Low,Medium,Preservation,Long-term,4964640,2101149,4,32,2863491,Balanced
1A4WA1NCYW,32,Low,725,Experienced,Low,High,Growth,Short-term,5226592,1944613,4,35,3281979,Balanced
W66Y350EG8,59,Medium,802,Experienced,High,Low,Income,Short-term,5164260,1874118,3,4,3290142,Conservative
7FL2MIGL64,19,Low,649,Novice,Medium,High,Income,Short-term,4908000,2052622,0,14,2855378,Balanced
HBILHZ2HRU,54,Medium,637,Experienced,Medium,High,Speculation,Medium-term,5075778,1857598,1,19,3218180,Balanced
7Y5F2YZJMQ,28,High,619,Experienced,Low,Medium,Income,Short-term,5154180,1903720,3,39,3250460,Balanced
MOPQ8SL5DV,40,Medium,609,Novice,Medium,High,Income,Medium-term,4739432,2064197,2,2,2675235,Balanced
S002ZNF5EW,61,High,587,Experienced,Medium,Low,Growth,Short-term,4964445,2182997,4,17,2781448,Conservative
4VJNVVTMZC,58,Medium,774,Novice,Medium,High,Speculation,Short-term,4847207,1979692,4,25,2867515,Balanced
TBHSGQM28P,29,Medium,725,Novice,High,High,Speculation,Short-term,4919274,2116361,4,12,2802913,Aggressive
FJKQN6RUYM,20,Medium,707,Intermediate,Medium,Low,Speculation,Short-term,5090550,1993970,2,38,3096580,Conservative
MB8AX3QC42,69,Medium,685,Experienced,High,Low,Preservation,Long-term,5001213,1868335,2,26,3132878,Balanced
67AUGI46C6,34,Low,714,Novice,Low,Low,Income,Medium-term,5200557,1832450,1,15,3368107,Balanced
RNQ1BJ8LJ7,50,High,711,Intermediate,Low,High,Preservation,Short-term,5052989,1877136,1,4,3175853,Conservative
H2Z16URSGH,18,High,657,Intermediate,Low,High,Income,Medium-term,4880124,2010661,2,3,2869463,Balanced
QS7M6OEPUV,56,Low,735,Novice,Medium,Medium,Speculation,Medium-term,4960918,1988040,0,17,2972878,Balanced
OSCXH2515G,37,High,713,Intermediate,Medium,Low,Income,Medium-term,5149444,2000442,1,22,3149002,Balanced
XK0B5044EF,64,Low,678,Novice,Low,Medium,Income,Short-term,5052398,2124869,2,22,2927529,Balanced
5FGDY8H3JA,60,Medium,637,Intermediate,Medium,Low,Speculation,Long-term,5061933,2131412,4,29,2930521,Growth-oriented
O52NZ0J77H,69,Medium,705,Experienced,High,High,Speculation,Short-term,4888798,2057532,4,17,2831266,Aggressive
HR8E731VVW,58,High,660,Experienced,High,Low,Income,Medium-term,5161297,2061749,3,7,3099548,Balanced
LMBUGUHJPS,31,Low,704,Intermediate,Medium,High,Income,Medium-term,4975905,1936288,1,30,3039617,Balanced
9PZAI4HI9Z,48,High,679,Intermediate,Low,Medium,Speculation,Long-term,4636974,1853456,0,15,2783518,Balanced
DRVG4LK6SY,42,High,712,Novice,Low,High,Speculation,Medium-term,4886335,2041763,1,28,2844572,Balanced
ZU8YF0AG73,20,Medium,661,Intermediate,Medium,Low,Speculation,Medium-term,5139521,2086007,3,10,3053514,Balanced
RT02P7G4QF,21,Medium,763,Intermediate,Low,High,Growth,Medium-term,5056634,2047403,0,14,3009231,Balanced
VNI342IDG8,48,Medium,654,Intermediate,High,High,Growth,Medium-term,5048936,2022199,4,17,3026737,Aggressive
SZSSRCWO93,52,High,753,Intermediate,High,High,Income,Long-term,5132372,1963703,1,5,3168669,Aggressive
XXSL9Q47SV,61,Medium,711,Experienced,Low,High,Growth,Short-term,5070651,1977893,2,7,3092758,Balanced
8LNX8VF0Q2,31,Low,767,Experienced,Medium,High,Preservation,Short-term,4879514,2080295,4,4,2799219,Balanced
ULP6ULK1CD,66,High,653,Experienced,Low,High,Speculation,Long-term,4914119,2090648,0,37,2823471,Balanced
XDENBQAHSH,58,High,729,Experienced,High,Medium,Growth,Medium-term,4991256,2214984,1,25,2776272,Balanced
K6TE1TTW43,26,Low,731,Novice,Low,Low,Speculation,Long-term,5112063,2017154,3,12,3094909,Balanced
KFP4VFY9TU,37,High,726,Intermediate,Low,High,Growth,Short-term,4935189,2066229,1,5,2868960,Balanced
JLXGG60K6T,49,High,633,Intermediate,Low,Low,Speculation,Medium-term,4937074,2078112,2,18,2858962,Balanced
B6HLQJ757K,26,Medium,649,Experienced,Low,High,Income,Medium-term,5110397,2040196,3,30,3070201,Balanced
8FUAZEDG8A,44,Medium,680,Novice,High,High,Growth,Short-term,5147457,1792393,4,25,3355064,Aggressive
0T3RTHJSZ7,20,Low,683,Intermediate,Medium,Low,Preservation,Long-term,5016455,2010046,1,26,3006409,Balanced
GMGMS5NI3W,21,Low,704,Novice,Medium,High,Income,Medium-term,5088643,1864595,4,5,3224048,Balanced
0EIEFUZ082,62,High,664,Experienced,Medium,High,Income,Medium-term,4771413,1959118,4,31,2812295,Balanced
213JJ0ULV6,32,Low,590,Experienced,Low,Medium,Income,Short-term,4916676,2050124,4,10,2866552,Balanced
WYG2SAYDT9,50,Low,687,Intermediate,High,Medium,Preservation,Short-term,5028751,1813431,3,23,3215320,Balanced
R0LFCY8P69,22,Medium,726,Experienced,Medium,High,Speculation,Long-term,4956731,2134796,3,1,2821935,Balanced
1M0KI2O23O,21,High,732,Novice,High,Medium,Speculation,Long-term,5070113,1844596,0,29,3225517,Balanced
4SFBIW1MCT,63,Low,556,Experienced,High,Low,Speculation,Long-term,5319766,2079651,3,31,3240115,Balanced
17QA8XBBU5,29,Medium,700,Novice,Medium,Medium,Growth,Long-term,5121598,1981652,0,29,3139946,Balanced
L9PFWJ6PGJ,40,Low,703,Novice,High,Medium,Speculation,Medium-term,4830765,1804947,1,31,3025818,Balanced
P5I61F1XN7,31,High,727,Experienced,High,Medium,Growth,Short-term,5176620,2123324,3,10,3053296,Balanced
38NUYNGZE6,63,Low,657,Novice,High,Medium,Growth,Short-term,5079464,1999274,2,36,3080190,Balanced
GSHIMX07N5,29,High,646,Experienced,Medium,High,Growth,Short-term,4768473,1839138,4,33,2929335,Balanced
CAT9OJRGLP,34,High,809,Experienced,Low,Medium,Growth,Short-term,5157362,2166882,0,22,2990480,Growth-oriented
EX3BQY8M4K,42,Medium,739,Experienced,Medium,Medium,Growth,Medium-term,4786102,1928195,4,24,2857907,Balanced
I590RBY47V,47,High,784,Novice,Medium,Low,Speculation,Medium-term,4815632,1918146,0,24,2897486,Growth-oriented
6PILWRMNGE,39,Low,744,Novice,Low,Low,Growth,Short-term,4999021,1934562,0,36,3064459,Conservative
OA72QRRT7R,64,High,635,Experienced,Medium,High,Speculation,Medium-term,4966758,2082920,4,14,2883838,Balanced
W9GMPLRZBG,43,High,633,Intermediate,Medium,Low,Speculation,Medium-term,5047285,1918473,4,2,3128812,Balanced
ELVDBP43HB,34,High,683,Experienced,High,High,Speculation,Long-term,5052758,2068866,0,34,2983892,Aggressive
4G9IB6WZ5V,37,Medium,670,Experienced,Medium,High,Income,Short-term,5150703,1969300,0,4,3181403,Balanced
GSPKB4ZACT,51,Medium,758,Novice,Medium,High,Growth,Medium-term,5177567,2030338,1,10,3147229,Preservation
VPZWJJX7VW,58,Low,684,Intermediate,High,Low,Speculation,Medium-term,5251813,2100401,0,3,3151412,Balanced
QD10X4RTIC,50,Low,659,Experienced,Medium,High,Growth,Medium-term,5085956,1822743,4,0,3263213,Balanced
T504W56EL8,54,Medium,811,Experienced,High,Medium,Preservation,Short-term,5167005,2116113,0,20,3050892,Balanced
2JZDZAYP68,24,Medium,696,Experienced,High,Medium,Speculation,Medium-term,4885487,1926143,0,23,2959344,Conservative
YAHMHQB6DR,39,Medium,636,Experienced,High,Low,Income,Short-term,4929708,2063814,2,27,2865894,Conservative
VJYWNJ5GNQ,49,Medium,735,Experienced,High,High,Speculation,Medium-term,5112683,1965959,4,33,3146724,Aggressive
12NXJP8CR8,31,High,734,Novice,Medium,Low,Income,Short-term,5328536,1891394,3,14,3437142,Conservative
5YJET3GRGN,25,Medium,650,Intermediate,Low,High,Growth,Medium-term,4833796,2056903,4,36,2776893,Balanced
78U272NH9L,42,Medium,712,Experienced,Medium,Low,Growth,Medium-term,4987007,1964991,2,27,3022016,Balanced
JUZFV5DJCM,33,High,771,Experienced,Low,Medium,Speculation,Medium-term,5106666,2037012,1,23,3069654,Growth-oriented
0Q6X8D42YY,59,Low,743,Novice,Low,Low,Income,Long-term,4999112,1964783,1,12,3034329,Balanced
V0WO8ADYBQ,36,High,694,Experienced,Low,Low,Preservation,Short-term,5240015,2138412,0,10,3101603,Conservative
HE2DRS56FA,58,Medium,682,Novice,High,High,Speculation,Medium-term,5036109,2183456,2,0,2852653,Aggressive
AGLDWD3VY3,33,Medium,633,Intermediate,High,High,Preservation,Short-term,5105212,1791525,0,25,3313687,Aggressive
2OUT50DPFD,29,High,701,Novice,High,High,Growth,Long-term,5337984,1877311,0,24,3460673,Aggressive
UW7E3YFE0W,56,High,573,Experienced,Low,High,Growth,Long-term,4824618,2069420,0,11,2755198,Balanced
VCSKMR3VDZ,65,High,726,Intermediate,High,High,Preservation,Medium-term,5163382,2019015,4,0,3144367,Aggressive
51I7KZSSW5,47,High,643,Experienced,High,Low,Growth,Medium-term,4981293,1999012,4,23,2982281,Balanced
7DY52TN6L9,19,Medium,708,Intermediate,Medium,Medium,Preservation,Short-term,5047142,1913566,0,29,3133576,Balanced
N1MFV10AEQ,49,Medium,817,Experienced,Low,Low,Preservation,Short-term,4987362,2103500,2,20,2883862,Conservative
RDU08U9CAL,62,Low,648,Experienced,Medium,Medium,Preservation,Short-term,4978513,2006478,1,29,2972035,Balanced
PR34NK2K1N,42,High,654,Intermediate,Low,Low,Growth,Short-term,5165035,2082003,3,20,3083032,Conservative
9H739ZUUDW,42,Medium,764,Intermediate,High,Medium,Growth,Short-term,5088475,1878186,0,16,3210289,Balanced
WPXIIRM3NX,21,Medium,709,Intermediate,High,Medium,Preservation,Medium-term,4553008,1807143,2,24,2745865,Balanced
03G7AOO7DU,36,Low,714,Novice,Medium,Low,Growth,Short-term,4917750,1973685,0,15,2944065,Conservative
B6ABBOAHBV,65,Low,654,Experienced,Low,Medium,Speculation,Long-term,4944267,1933373,3,2,3010894,Balanced
96ZZY20HJB,21,Low,769,Novice,Medium,Low,Speculation,Short-term,4946241,2072833,2,33,2873408,Conservative
JDQUVWDN7J,60,Medium,719,Intermediate,Medium,Low,Growth,Long-term,4996847,1923482,0,30,3073365,Balanced
RASQMA4A9A,30,Low,688,Intermediate,Medium,Medium,Preservation,Short-term,4832751,1892508,1,2,2940243,Balanced
